Account,Header,Description,Task Length,Delay,Start,Launched,Status,Civil,Mech,Elect
A.245.,Electrical plant equipment,Electrical Structure & Wiring Container,40.73914219,6.599050497,27,FALSE,0,0,0,1
A.246.,Electrical plant equipment,Power & Control Wiring,32.86477313,19.90710104,27,FALSE,0,0,0,1
A.251.111,Transportation and lift equipment,TG Crane,7.5035289,4.784969463,29,FALSE,0,0,1,0
A.251.112,Transportation and lift equipment,HB crane,21.48482165,21.20479783,29,FALSE,0,0,1,0
A.251.12,Transportation and lift equipment,Containment crane,39.05045051,9.401217604,28,FALSE,0,0,1,0
A.251.16,Transportation and lift equipment,Misc. cranes,39.23056907,19.53435636,18,FALSE,0,0,1,0
A.251.17,Transportation and lift equipment,DG crane,9.082347456,4.816930686,50,FALSE,0,0,1,0
A.252.1,"Air, water, and steam service system",Air system,48.76918666,9.166663686,18,FALSE,0,0,1,0
A.252.2,"Air, water, and steam service system",Water system,43.48055531,17.13031359,18,FALSE,0,0,1,0
A.252.3,"Air, water, and steam service system",Steam system,26.89493603,33.12226803,18,FALSE,0,0,1,0
A.252.4,"Air, water, and steam service system",Plant fuel oil system,14.25701005,2.806814591,18,FALSE,0,0,1,0
A.253.,Communications equipment,Communications equipment,42.802383,16.37767189,18,FALSE,0,0,0,1
A.254.,Furnishings and fixtures,Furnishings and fixtures,37.98900326,10.42009302,18,FALSE,0,0,1,0
A.255.,Waste water treatment,Waste water treatment,15.67933716,7.515441548,25,FALSE,0,0,1,0
A.261.1,Heat rejection system,Makeup Water Intake Building,7.626495982,26.22238943,11,FALSE,0,1,0,0
A.261.2,Heat rejection system,Circulation Water Pump House,43.40681592,10.13498756,11,FALSE,0,1,0,0
A.261.3,Heat rejection system,Makeup Water Pretreatment Building,52.03449891,31.51741247,11,FALSE,0,1,0,0
A.262.11,Heat Rejection System,Water Intake Equipment,4.742313892,28.17464242,11,FALSE,0,0,1,0
A.262.12,Heat Rejection System,Circulating Water System,48.67052086,3.815227682,11,FALSE,0,0,1,0
A.262.13,Heat Rejection System,Cooling Towers,17.36266619,27.80508284,11,FALSE,0,1,0,0
A.262.14,Heat Rejection System,Cooling Tower Basins,37.63843048,23.94048686,11,FALSE,0,1,0,0
A.262.15,Heat Rejection System,Main Cooling Tower Makeup & Blowdown System,24.76187017,14.61900185,11,FALSE,0,0,1,0
None,Placeholder,Placeholder,30.64266966,20.64889963,150,TRUE,1,0,0,0
