Account,Dependency 1,Fraction 1,Building,Parallelism,Hours run0_unit0,Hours run0_unit1,Hours run0_unit2,Hours run0_unit3,Hours run0_unit4,Hours run0_unit5,Hours run0_unit6,Hours run0_unit7,Hours run0_unit8,Hours run0_unit9
A.218B.21,A.218B.141,1,A.218B.,1,21966.77288,19089.12563,17583.88732,16588.45017,15855.30371,15280.39808,14810.61624,14415.3632,14075.49006,13778.25893
A.218B.22,A.218B.141,1,A.218B.,1,56616.28174,49199.54883,45320.00782,42754.40793,40864.82557,39383.0868,38172.28987,37153.58049,36277.60506,35511.53342
A.218B.23,A.218B.141,1,A.218B.,1,421.7620392,366.5112121,337.6106365,318.4982433,304.4218312,293.3836431,284.3638318,276.7749734,270.2494092,264.5425713
A.218B.24,A.218B.141,1,A.218B.,1,17573.4183,15271.3005,14067.10986,13270.76014,12684.24297,12224.31846,11848.49299,11532.29056,11260.39205,11022.60714
A.218B.25,A.218B.141,1,A.218B.,1,878.670915,763.5650251,703.3554928,663.5380068,634.2121484,611.2159232,592.4246495,576.6145279,563.0196024,551.1303569
A.218D.,A.211.,0.9,A.218D,1,15421,13400.849,12344.14941,11645.33778,11130.6581,10727.06583,10397.27202,10119.79853,9881.202554,9672.541892
A.218E.13,A.211.,0.9,A.218E.,1,12185.63465,10589.31651,9754.315205,9202.11605,8795.417489,8476.499913,8215.897687,7996.638848,7808.100918,7643.217798
A.218E.141,A.218E.13,0.9,A.218E.,1,91847.09546,79815.12595,73521.44925,69359.34445,66293.92499,63890.1394,61925.89558,60273.27033,58852.19857,57609.42082
A.218E.142,A.218E.141,0.5,A.218E.,1,3336.29819,2899.243127,2670.628579,2519.442277,2408.092503,2320.776236,2249.426096,2189.395339,2137.775643,2092.632385
A.218E.143,A.218E.141,0.9,A.218E.,1,440.3385204,382.6541742,352.4806748,332.5264774,317.8300707,306.3057064,296.888618,288.9655089,282.1525266,276.1943314
A.218E.145,A.218E.141,0.9,A.218E.,1,308.2369643,267.857922,246.7364723,232.7685342,222.4810495,214.4139945,207.8220326,202.2758562,197.5067686,193.336032
A.218E.147,A.218B.146,0.9,A.218E.,1,231.9116207,201.5311984,185.639822,175.1306114,167.3905039,161.3210053,156.3613388,152.1885013,148.6003306,145.4623479
A.218E.149,A.218E.141,0.9,A.218E.,1,911.5007372,792.0941406,729.6349967,688.3298082,657.9082463,634.0528122,614.5594392,598.1586033,584.05573,571.7222661
A.218E.21,A.218E.141,1,A.218E.,1,5386.8079,4681.136065,4312.013588,4067.907241,3888.121198,3747.139808,3631.937427,3535.011392,3451.665909,3378.777321
A.218E.23,A.218E.141,1,A.218E.,1,1752.547311,1522.963613,1402.873085,1323.45538,1264.963681,1219.096711,1181.616699,1150.082725,1122.967056,1099.253439
A.218E.24,A.218E.141,1,A.218E.,1,2935.590136,2551.027828,2349.871165,2216.843183,2118.867138,2042.038042,1979.257453,1926.436726,1881.016844,1841.295543
A.218F.,A.211.,0.9,A.218F.,1,41180,35785.42,32963.62574,31097.52998,29723.13732,28645.39077,27764.71447,27023.75355,26386.61054,25829.40634
A.218G.,A.211.,0.9,A.218G.,1,2228,1936.132,1783.46183,1682.498708,1608.138659,1549.82833,1502.180278,1462.091377,1427.619434,1397.472494
